parnme,partrans,parval1,pargp,comments
finf_1,none,0.4830353,uzf_finf,#
finf_10,none,0.472504655,uzf_finf,#
finf_11,none,0.472504652,uzf_finf,#
finf_12,none,0.472504652,uzf_finf,#
finf_13,none,0.472504625,uzf_finf,#
finf_14,none,0.483035302,uzf_finf,#
finf_15,none,0.4830353,uzf_finf,#
finf_16,none,0.4830353,uzf_finf,#
finf_17,none,0.483035296,uzf_finf,#
finf_18,none,0.4830353,uzf_finf,#
finf_19,none,0.483035302,uzf_finf,#
finf_2,none,0.483035299,uzf_finf,#
finf_20,none,0.528461941,uzf_finf,#
finf_21,none,0.483035301,uzf_finf,#
finf_22,none,0.483035304,uzf_finf,#
finf_3,none,0.483035305,uzf_finf,#
finf_4,none,0.410580006,uzf_finf,#
finf_5,none,0.410580006,uzf_finf,#
finf_6,none,0.483035299,uzf_finf,#
finf_7,none,0.472504653,uzf_finf,#
finf_8,none,0.47250465,uzf_finf,#
finf_9,none,0.472504648,uzf_finf,#
ks_1,none,2.39656,upw_ks,111
ks_10,none,1.98134,upw_ks,212
ks_100,none,0.000329541,upw_ks,1410
ks_101,none,0.000973323,upw_ks,1420
ks_102,none,0.000110582,upw_ks,1430
ks_103,none,0.000498324,upw_ks,1440
ks_104,none,1.63e-05,upw_ks,1450
ks_105,none,3.18e-05,upw_ks,1460
ks_106,none,0.000337738,upw_ks,1480
ks_107,none,0.000371699,upw_ks,1490
ks_108,none,4.44325,upw_ks,2112
ks_109,none,7.13257,upw_ks,2113
ks_11,none,0.973323,upw_ks,213
ks_110,none,3.031579432,upw_ks,2122
ks_111,none,6.9687,upw_ks,2123
ks_112,none,3.74646,upw_ks,2182
ks_113,none,0.0324518,upw_ks,2183
ks_114,none,7.93648,upw_ks,3102
ks_115,none,7.32053,upw_ks,3103
ks_116,none,0.364898,upw_ks,3104
ks_117,none,13.2965,upw_ks,3112
ks_118,none,1.90298,upw_ks,3114
ks_119,none,10.58,upw_ks,3122
ks_12,none,9.16782,upw_ks,243
ks_120,none,0.0898582,upw_ks,3123
