parnme,partrans,parval1,pargp,comments
bhead_mult_1,none,1,ghb_bhead,#
bhead_mult_2,none,1,ghb_bhead,#
bhead_mult_3,none,1,ghb_bhead,#
bhead_mult_4,none,1,ghb_bhead,#
bhead_mult_5,none,1,ghb_bhead,#
bhead_mult_6,none,1,ghb_bhead,#
bhead_mult_7,none,1,ghb_bhead,#
carea_max_mult_01,none,1,prms_carea_max,#
carea_max_mult_02,none,1,prms_carea_max,#
carea_max_mult_03,none,1,prms_carea_max,#
carea_max_mult_04,none,1,prms_carea_max,#
carea_max_mult_05,none,1,prms_carea_max,#
carea_max_mult_06,none,1,prms_carea_max,#
carea_max_mult_07,none,1,prms_carea_max,#
carea_max_mult_08,none,1,prms_carea_max,#
carea_max_mult_09,none,1,prms_carea_max,#
carea_max_mult_10,none,1,prms_carea_max,#
carea_max_mult_11,none,1,prms_carea_max,#
carea_max_mult_12,none,1,prms_carea_max,#
carea_max_mult_13,none,1,prms_carea_max,#
carea_max_mult_14,none,1,prms_carea_max,#
carea_max_mult_15,none,1,prms_carea_max,#
carea_max_mult_16,none,1,prms_carea_max,#
carea_max_mult_17,none,1,prms_carea_max,#
carea_max_mult_18,none,1,prms_carea_max,#
carea_max_mult_19,none,1,prms_carea_max,#
carea_max_mult_20,none,1,prms_carea_max,#
carea_max_mult_21,none,1,prms_carea_max,#
carea_max_mult_22,none,1,prms_carea_max,#
covden_win_mult_01,none,1,prms_covden_win,#
covden_win_mult_02,none,1,prms_covden_win,#
covden_win_mult_03,none,1,prms_covden_win,#
covden_win_mult_04,none,1,prms_covden_win,#
covden_win_mult_05,none,1,prms_covden_win,#
covden_win_mult_06,none,1,prms_covden_win,#
covden_win_mult_07,none,1,prms_covden_win,#
covden_win_mult_08,none,1,prms_covden_win,#
covden_win_mult_09,none,1,prms_covden_win,#
covden_win_mult_10,none,1,prms_covden_win,#
covden_win_mult_11,none,1,prms_covden_win,#
covden_win_mult_12,none,1,prms_covden_win,#
covden_win_mult_13,none,1,prms_covden_win,#
covden_win_mult_14,none,1,prms_covden_win,#
covden_win_mult_15,none,1,prms_covden_win,#
covden_win_mult_16,none,1,prms_covden_win,#
covden_win_mult_17,none,1,prms_covden_win,#
covden_win_mult_18,none,1,prms_covden_win,#
covden_win_mult_19,none,1,prms_covden_win,#
covden_win_mult_20,none,1,prms_covden_win,#
covden_win_mult_21,none,1,prms_covden_win,#
covden_win_mult_22,none,1,prms_covden_win,#
extdp,none,0.01013541,uzf_extdp,#
jh_coef_mult_01_01,none,1,prms_jh_coef,#
jh_coef_mult_01_02,none,1,prms_jh_coef,#
jh_coef_mult_01_03,none,1,prms_jh_coef,#
jh_coef_mult_01_04,none,1,prms_jh_coef,#
jh_coef_mult_01_05,none,1,prms_jh_coef,#
jh_coef_mult_01_06,none,1,prms_jh_coef,#
jh_coef_mult_01_07,none,1,prms_jh_coef,#
jh_coef_mult_01_08,none,1,prms_jh_coef,#
jh_coef_mult_01_09,none,1,prms_jh_coef,#
jh_coef_mult_01_10,none,1,prms_jh_coef,#
jh_coef_mult_01_11,none,1,prms_jh_coef,#
jh_coef_mult_01_12,none,1,prms_jh_coef,#
jh_coef_mult_01_13,none,1,prms_jh_coef,#
jh_coef_mult_01_14,none,1,prms_jh_coef,#
jh_coef_mult_01_15,none,1,prms_jh_coef,#
jh_coef_mult_01_16,none,1,prms_jh_coef,#
jh_coef_mult_01_17,none,1,prms_jh_coef,#
jh_coef_mult_01_18,none,1,prms_jh_coef,#
jh_coef_mult_01_19,none,1,prms_jh_coef,#
jh_coef_mult_01_20,none,1,prms_jh_coef,#
jh_coef_mult_01_21,none,1,prms_jh_coef,#
jh_coef_mult_01_22,none,1,prms_jh_coef,#
jh_coef_mult_02_01,none,1,prms_jh_coef,#
jh_coef_mult_02_02,none,1,prms_jh_coef,#
jh_coef_mult_02_03,none,1,prms_jh_coef,#
jh_coef_mult_02_04,none,1,prms_jh_coef,#
jh_coef_mult_02_05,none,1,prms_jh_coef,#
jh_coef_mult_02_06,none,1,prms_jh_coef,#
jh_coef_mult_02_07,none,1,prms_jh_coef,#
jh_coef_mult_02_08,none,1,prms_jh_coef,#
jh_coef_mult_02_09,none,1,prms_jh_coef,#
jh_coef_mult_02_10,none,1,prms_jh_coef,#
jh_coef_mult_02_11,none,1,prms_jh_coef,#
jh_coef_mult_02_12,none,1,prms_jh_coef,#
jh_coef_mult_02_13,none,1,prms_jh_coef,#
jh_coef_mult_02_14,none,1,prms_jh_coef,#
jh_coef_mult_02_15,none,1,prms_jh_coef,#
jh_coef_mult_02_16,none,1,prms_jh_coef,#
jh_coef_mult_02_17,none,1,prms_jh_coef,#
jh_coef_mult_02_18,none,1,prms_jh_coef,#
jh_coef_mult_02_19,none,1,prms_jh_coef,#
jh_coef_mult_02_20,none,1,prms_jh_coef,#
jh_coef_mult_02_21,none,1,prms_jh_coef,#
jh_coef_mult_02_22,none,1,prms_jh_coef,#
jh_coef_mult_03_01,none,1,prms_jh_coef,#
jh_coef_mult_03_02,none,1,prms_jh_coef,#
jh_coef_mult_03_03,none,1,prms_jh_coef,#
jh_coef_mult_03_04,none,1,prms_jh_coef,#
jh_coef_mult_03_05,none,1,prms_jh_coef,#
jh_coef_mult_03_06,none,1,prms_jh_coef,#
jh_coef_mult_03_07,none,1,prms_jh_coef,#
jh_coef_mult_03_08,none,1,prms_jh_coef,#
jh_coef_mult_03_09,none,1,prms_jh_coef,#
jh_coef_mult_03_10,none,1,prms_jh_coef,#
jh_coef_mult_03_11,none,1,prms_jh_coef,#
jh_coef_mult_03_12,none,1,prms_jh_coef,#
jh_coef_mult_03_13,none,1,prms_jh_coef,#
jh_coef_mult_03_14,none,1,prms_jh_coef,#
jh_coef_mult_03_15,none,1,prms_jh_coef,#
jh_coef_mult_03_16,none,1,prms_jh_coef,#
jh_coef_mult_03_17,none,1,prms_jh_coef,#
jh_coef_mult_03_18,none,1,prms_jh_coef,#
jh_coef_mult_03_19,none,1,prms_jh_coef,#
jh_coef_mult_03_20,none,1,prms_jh_coef,#
jh_coef_mult_03_21,none,1,prms_jh_coef,#
jh_coef_mult_03_22,none,1,prms_jh_coef,#
jh_coef_mult_04_01,none,1,prms_jh_coef,#
jh_coef_mult_04_02,none,1,prms_jh_coef,#
jh_coef_mult_04_03,none,1,prms_jh_coef,#
jh_coef_mult_04_04,none,1,prms_jh_coef,#
jh_coef_mult_04_05,none,1,prms_jh_coef,#
jh_coef_mult_04_06,none,1,prms_jh_coef,#
jh_coef_mult_04_07,none,1,prms_jh_coef,#
jh_coef_mult_04_08,none,1,prms_jh_coef,#
jh_coef_mult_04_09,none,1,prms_jh_coef,#
jh_coef_mult_04_10,none,1,prms_jh_coef,#
jh_coef_mult_04_11,none,1,prms_jh_coef,#
jh_coef_mult_04_12,none,1,prms_jh_coef,#
jh_coef_mult_04_13,none,1,prms_jh_coef,#
jh_coef_mult_04_14,none,1,prms_jh_coef,#
jh_coef_mult_04_15,none,1,prms_jh_coef,#
jh_coef_mult_04_16,none,1,prms_jh_coef,#
jh_coef_mult_04_17,none,1,prms_jh_coef,#
jh_coef_mult_04_18,none,1,prms_jh_coef,#
jh_coef_mult_04_19,none,1,prms_jh_coef,#
jh_coef_mult_04_20,none,1,prms_jh_coef,#
jh_coef_mult_04_21,none,1,prms_jh_coef,#
jh_coef_mult_04_22,none,1,prms_jh_coef,#
jh_coef_mult_05_01,none,1,prms_jh_coef,#
jh_coef_mult_05_02,none,1,prms_jh_coef,#
jh_coef_mult_05_03,none,1,prms_jh_coef,#
jh_coef_mult_05_04,none,1,prms_jh_coef,#
jh_coef_mult_05_05,none,1,prms_jh_coef,#
jh_coef_mult_05_06,none,1,prms_jh_coef,#
jh_coef_mult_05_07,none,1,prms_jh_coef,#
jh_coef_mult_05_08,none,1,prms_jh_coef,#
jh_coef_mult_05_09,none,1,prms_jh_coef,#
jh_coef_mult_05_10,none,1,prms_jh_coef,#
jh_coef_mult_05_11,none,1,prms_jh_coef,#
jh_coef_mult_05_12,none,1,prms_jh_coef,#
jh_coef_mult_05_13,none,1,prms_jh_coef,#
jh_coef_mult_05_14,none,1,prms_jh_coef,#
jh_coef_mult_05_15,none,1,prms_jh_coef,#
jh_coef_mult_05_16,none,1,prms_jh_coef,#
jh_coef_mult_05_17,none,1,prms_jh_coef,#
jh_coef_mult_05_18,none,1,prms_jh_coef,#
jh_coef_mult_05_19,none,1,prms_jh_coef,#
jh_coef_mult_05_20,none,1,prms_jh_coef,#
jh_coef_mult_05_21,none,1,prms_jh_coef,#
jh_coef_mult_05_22,none,1,prms_jh_coef,#
jh_coef_mult_06_01,none,1,prms_jh_coef,#
jh_coef_mult_06_02,none,1,prms_jh_coef,#
jh_coef_mult_06_03,none,1,prms_jh_coef,#
jh_coef_mult_06_04,none,1,prms_jh_coef,#
jh_coef_mult_06_05,none,1,prms_jh_coef,#
jh_coef_mult_06_06,none,1,prms_jh_coef,#
jh_coef_mult_06_07,none,1,prms_jh_coef,#
jh_coef_mult_06_08,none,1,prms_jh_coef,#
jh_coef_mult_06_09,none,1,prms_jh_coef,#
jh_coef_mult_06_10,none,1,prms_jh_coef,#
jh_coef_mult_06_11,none,1,prms_jh_coef,#
jh_coef_mult_06_12,none,1,prms_jh_coef,#
jh_coef_mult_06_13,none,1,prms_jh_coef,#
jh_coef_mult_06_14,none,1,prms_jh_coef,#
jh_coef_mult_06_15,none,1,prms_jh_coef,#
jh_coef_mult_06_16,none,1,prms_jh_coef,#
jh_coef_mult_06_17,none,1,prms_jh_coef,#
jh_coef_mult_06_18,none,1,prms_jh_coef,#
jh_coef_mult_06_19,none,1,prms_jh_coef,#
jh_coef_mult_06_20,none,1,prms_jh_coef,#
jh_coef_mult_06_21,none,1,prms_jh_coef,#
jh_coef_mult_06_22,none,1,prms_jh_coef,#
jh_coef_mult_07_01,none,1,prms_jh_coef,#
jh_coef_mult_07_02,none,1,prms_jh_coef,#
jh_coef_mult_07_03,none,1,prms_jh_coef,#
jh_coef_mult_07_04,none,1,prms_jh_coef,#
jh_coef_mult_07_05,none,1,prms_jh_coef,#
jh_coef_mult_07_06,none,1,prms_jh_coef,#
jh_coef_mult_07_07,none,1,prms_jh_coef,#
jh_coef_mult_07_08,none,1,prms_jh_coef,#
jh_coef_mult_07_09,none,1,prms_jh_coef,#
jh_coef_mult_07_10,none,1,prms_jh_coef,#
jh_coef_mult_07_11,none,1,prms_jh_coef,#
jh_coef_mult_07_12,none,1,prms_jh_coef,#
jh_coef_mult_07_13,none,1,prms_jh_coef,#
jh_coef_mult_07_14,none,1,prms_jh_coef,#
jh_coef_mult_07_15,none,1,prms_jh_coef,#
jh_coef_mult_07_16,none,1,prms_jh_coef,#
jh_coef_mult_07_17,none,1,prms_jh_coef,#
jh_coef_mult_07_18,none,1,prms_jh_coef,#
jh_coef_mult_07_19,none,1,prms_jh_coef,#
jh_coef_mult_07_20,none,1,prms_jh_coef,#
jh_coef_mult_07_21,none,1,prms_jh_coef,#
jh_coef_mult_07_22,none,1,prms_jh_coef,#
jh_coef_mult_08_01,none,1,prms_jh_coef,#
jh_coef_mult_08_02,none,1,prms_jh_coef,#
jh_coef_mult_08_03,none,1,prms_jh_coef,#
jh_coef_mult_08_04,none,1,prms_jh_coef,#
jh_coef_mult_08_05,none,1,prms_jh_coef,#
jh_coef_mult_08_06,none,1,prms_jh_coef,#
jh_coef_mult_08_07,none,1,prms_jh_coef,#
jh_coef_mult_08_08,none,1,prms_jh_coef,#
jh_coef_mult_08_09,none,1,prms_jh_coef,#
jh_coef_mult_08_10,none,1,prms_jh_coef,#
jh_coef_mult_08_11,none,1,prms_jh_coef,#
jh_coef_mult_08_12,none,1,prms_jh_coef,#
jh_coef_mult_08_13,none,1,prms_jh_coef,#
jh_coef_mult_08_14,none,1,prms_jh_coef,#
jh_coef_mult_08_15,none,1,prms_jh_coef,#
jh_coef_mult_08_16,none,1,prms_jh_coef,#
jh_coef_mult_08_17,none,1,prms_jh_coef,#
jh_coef_mult_08_18,none,1,prms_jh_coef,#
jh_coef_mult_08_19,none,1,prms_jh_coef,#
jh_coef_mult_08_20,none,1,prms_jh_coef,#
jh_coef_mult_08_21,none,1,prms_jh_coef,#
jh_coef_mult_08_22,none,1,prms_jh_coef,#
jh_coef_mult_09_01,none,1,prms_jh_coef,#
jh_coef_mult_09_02,none,1,prms_jh_coef,#
jh_coef_mult_09_03,none,1,prms_jh_coef,#
jh_coef_mult_09_04,none,1,prms_jh_coef,#
jh_coef_mult_09_05,none,1,prms_jh_coef,#
jh_coef_mult_09_06,none,1,prms_jh_coef,#
jh_coef_mult_09_07,none,1,prms_jh_coef,#
jh_coef_mult_09_08,none,1,prms_jh_coef,#
jh_coef_mult_09_09,none,1,prms_jh_coef,#
jh_coef_mult_09_10,none,1,prms_jh_coef,#
jh_coef_mult_09_11,none,1,prms_jh_coef,#
jh_coef_mult_09_12,none,1,prms_jh_coef,#
jh_coef_mult_09_13,none,1,prms_jh_coef,#
jh_coef_mult_09_14,none,1,prms_jh_coef,#
jh_coef_mult_09_15,none,1,prms_jh_coef,#
jh_coef_mult_09_16,none,1,prms_jh_coef,#
